Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Divorced,% of population 15+ that are divorced,% of Pop 15+ Now Married,,per_below_pov
"Birmingham city, Alabama",175524,81571,40412,28784,9786,93953,41038,29980,14191,13.6602402,33.47918233,46.40391058,24.5
"Hoover city, Alabama",67512,31937,8841,20494,2038,35575,9915,19595,3977,8.909527195,59.38055457,27.78172769,5.4
"Huntsville city, Alabama",157649,76123,30514,35046,8125,81526,27139,35014,11724,12.59062855,44.44049756,36.57048253,17.3
"Mobile city, Alabama",160649,76849,34560,31236,9063,83800,31941,30592,11998,13.10994777,38.48638958,41.39521566,21.4
"Montgomery city, Alabama",160512,73924,31171,30241,9415,86588,32421,32028,13372,14.19644637,38.79398425,39.61822169,19.3
"Tuscaloosa city, Alabama",84108,39030,21976,12515,3897,45078,23652,12795,4988,10.56379893,30.09226233,54.24929852,24.7
"Anchorage municipality, Alaska",236408,120340,49747,58724,10116,116068,37620,57636,15728,10.93194816,49.21999256,36.95602518,6.3
"Avondale city, Arizona",63806,31995,12562,15370,3517,31811,9804,15355,5155,13.59119832,48.15377864,35.0531298,14.4
"Chandler city, Arizona",195268,96032,34183,50642,9205,99236,27374,51375,14608,12.19503452,52.24460741,31.52436651,7.1
"Gilbert town, Arizona",175409,83153,22701,52393,6623,92256,25423,50741,12775,11.05872561,58.79629894,27.43530834,5
"Glendale city, Arizona",197548,97306,39723,41581,13569,100242,33107,41845,17140,15.54508271,42.23074898,36.86698929,16.4
"Mesa city, Arizona",383994,185585,64637,95493,20813,198409,61468,95182,26380,12.29003578,49.65572379,32.84035688,16.8
"Peoria city, Arizona",132684,63402,19103,35602,6634,69282,17413,35587,9820,12.40089235,53.65304031,27.5210274,7.7
"Phoenix city, Arizona",1252030,617076,267776,273652,61509,634954,224562,276304,90033,12.10370359,43.92514556,39.32317916,20.3
"Scottsdale city, Arizona",216214,105019,33521,56715,11654,111195,28102,56412,16842,13.17953509,52.3217738,28.50092963,8
"Surprise city, Arizona",104724,49363,11501,31721,4967,55361,12088,31290,6570,11.01657691,60.16863374,22.52492265,9.7
"Tempe city, Arizona",161163,84452,47953,28467,7129,76711,35120,26675,10687,11.05464654,34.21504936,51.54595037,20.3
"Tucson city, Arizona",436326,215491,102737,81247,26156,220835,84913,82249,38705,14.8652613,37.47106521,43.00683434,24.1
"Yuma city, Arizona",72393,37748,13522,20734,2670,34645,9100,17823,4974,10.55903195,53.26067437,31.24887765,16.7
"Fayetteville city, Arkansas",69972,35198,19517,10907,3950,34774,17594,12127,3366,10.45561082,32.91888184,53.03692906,25.2
"Fort Smith city, Arkansas",70514,33755,12138,16675,3935,36759,9275,16742,6933,15.41254219,47.3905891,30.36701932,21.6
"Jonesboro city, Arkansas",60446,29721,11805,12092,4816,30725,10323,11816,5884,17.70175032,39.55265857,36.60788141,17.1
"Little Rock city, Arkansas",161345,76297,30400,33063,10382,85048,28459,36594,12508,14.18699061,43.17270445,36.48021321,18.8
"Springdale city, Arkansas",59294,29777,9758,16229,3285,29517,7630,15889,3732,11.83424967,54.16736938,29.32505818,15.6
"Alameda city, California",64366,31721,10557,17754,2675,32645,8964,16853,4142,10.59099525,53.7659634,30.32812354,6.8
"Alhambra city, California",72652,35058,15516,16938,2225,37594,13242,17624,2799,6.915157188,47.57198701,39.58321863,12.7
"Anaheim city, California",277822,130481,51388,67031,9325,147341,52848,67954,13115,8.077114123,48.58686497,37.51898698,15
"Antioch city, California",88721,40703,14833,22678,2038,48018,15214,23147,6107,9.180464603,51.65068022,33.866841,12
"Apple Valley town, California",57960,27100,9644,14616,2472,30860,10077,14418,4084,11.31124914,50.0931677,34.02518979,16.8
"Bakersfield city, California",282273,137280,55554,68821,11098,144993,51289,70050,15008,9.24849348,49.19740818,37.85094572,20
"Baldwin Park city, California",60818,32127,14464,16174,1126,28691,9513,15407,1891,4.960702424,51.92706107,39.42418363,12.9
"Bellflower city, California",61264,28809,11135,14887,2328,32455,11576,14409,4529,11.19254375,47.81927396,37.07071037,13.5
"Berkeley city, California",107620,50379,28536,18157,3405,57241,31354,18077,5312,8.099795577,33.66846311,55.64950753,16.1
"Buena Park city, California",70079,33827,14116,16238,2606,36252,12671,16894,3118,8.167924771,47.27807189,38.22400434,12
"Burbank city, California",88534,43636,17232,21638,3819,44898,15230,21215,3791,8.595567804,48.40287347,36.66613956,10.5
"Carlsbad city, California",91058,42778,13058,25928,2639,48280,12624,26385,5454,8.887741879,57.45019658,28.20400184,5.2
"Carson city, California",77087,35485,14477,18058,2487,41602,16659,17738,3430,7.675742992,46.43584521,40.39072736,8.5
"Chico city, California",76817,36144,18799,13209,3432,40673,19947,11185,5203,11.24100134,31.75599151,50.43935587,26.6
"Chino city, California",73251,44394,19210,17929,5907,28857,8084,15627,3493,12.83258932,45.80961352,37.26092477,15.8
"Chino Hills city, California",64303,31228,10985,18271,1682,33075,11176,17482,2567,6.607778797,55.60082733,34.46339984,6.5
"Chula Vista city, California",211224,104301,39276,56737,6219,106923,29643,55829,11431,8.356058024,53.29223952,32.6283945,10.5
"Citrus Heights city, California",72183,34442,13290,16880,3768,37741,10348,16742,6801,14.64195171,46.57883435,32.74732278,12.8
"Clovis city, California",81646,40818,14532,21762,3797,40828,11389,21028,5613,11.5253656,52.4091811,31.7480342,14.2
"Compton city, California",73499,36180,17941,15350,1931,37319,17389,14684,2318,5.781031034,40.863141,48.06868121,26.5
"Concord city, California",104970,52176,19960,27422,4225,52794,15589,26150,7364,11.04029723,51.03553396,33.86586644,11
"Corona city, California",137126,68869,27805,35181,4376,68257,21090,33622,7826,8.898385427,50.17502151,35.656987,11.8
"Costa Mesa city, California",93059,47341,21736,21918,3369,45718,16544,20893,5173,9.179122922,46.00414791,41.1351938,11.6
"Daly City city, California",91989,46077,19717,21655,3192,45912,15205,22182,4285,8.128145757,47.65461088,37.96323473,6.6
"Downey city, California",89333,43711,18930,20549,3561,45622,15681,21638,5545,10.19332162,47.22442994,38.74380128,7.7
"El Cajon city, California",76549,37716,14071,18419,4102,38833,11055,17779,5686,12.78658114,47.28735842,32.82342029,26.7
"Elk Grove city, California",133450,61938,20251,35709,4987,71512,22384,36131,7808,9.587860622,53.83289622,31.94829524,7.1
"El Monte city, California",92474,47107,21206,22375,2408,45367,17720,21446,2880,5.718364081,47.38737375,42.09399399,20.7
"Escondido city, California",119597,60438,23742,30722,4843,59159,18668,28846,6902,9.820480447,49.80726941,35.4607557,14.7
"Fairfield city, California",91797,44355,17474,23873,2516,47442,13967,23826,6424,9.738880356,51.96139307,34.25057464,10.3
"Folsom city, California",60995,31939,9788,18030,3669,29056,5550,17781,3708,12.09443397,58.71136978,25.14632347,6
"Fontana city, California",159929,77540,31589,39910,4686,82389,27528,41333,7442,7.583365118,50.79941724,36.96452801,11.8
"Fremont city, California",184534,91179,26569,58634,4159,93355,21848,58106,6057,5.536107167,63.26205469,26.23744134,3.1
"Fresno city, California",396338,189651,86535,83623,14434,206687,80164,84614,28111,10.73452457,42.44786016,42.05980754,28.1
"Fullerton city, California",116551,57958,24946,28145,3870,58593,20240,28302,5762,8.264193357,48.43115889,38.76929413,14
"Garden Grove city, California",141795,72570,31386,35536,3859,69225,23740,35139,5913,6.891639338,49.84308332,38.87725237,14
"Glendale city, California",169528,79358,28197,43516,5270,90170,27737,44571,8539,8.145557076,51.96014818,32.9939597,14.4
"Hawthorne city, California",66957,31014,15163,12965,2348,35943,15109,13699,4639,10.43505533,39.8225727,45.21110563,19.3
"Hayward city, California",130295,64504,28682,30808,3769,65791,24641,29857,6351,7.766990291,46.55972984,40.92482444,10.5
"Hemet city, California",62783,29544,7860,16737,3417,33239,7114,16813,5453,14.12802829,53.43803259,23.85040536,20.9
"Hesperia city, California",73842,38100,15736,17809,3726,35742,11626,18380,3890,10.31391349,49.00869424,37.05479267,20.7
"Huntington Beach city, California",169681,83639,30191,43289,8175,86042,24822,41661,12827,12.37734337,50.06453286,32.42142609,8.2
"Indio city, California",70482,34232,13765,16928,2655,36250,11561,17537,4289,9.852160835,48.89900968,35.93257853,19.3
"Inglewood city, California",92919,43738,20907,17391,4014,49181,20752,17223,7971,12.8983308,37.25179995,44.83367234,14.9
"Irvine city, California",213258,103408,35689,60850,5676,109850,34691,60613,10070,7.383544814,56.9558938,33.00227893,12.7
"Lake Forest city, California",68763,33325,10076,20752,1731,35438,9526,19643,3984,8.311155709,58.74525544,28.50660966,8.1
"Lakewood city, California",64603,30778,11987,15741,2418,33825,11265,15914,4330,10.44533536,48.99927248,35.99213659,10.1
"Lancaster city, California",124388,59429,27874,25763,4132,64959,28609,25356,6024,8.164774737,41.09640801,45.4087211,24.8
"Livermore city, California",71986,34662,9396,22677,1934,37324,9259,21650,4163,8.469702442,61.57725113,25.9147612,5.2
"Long Beach city, California",377822,182923,90745,74544,13550,194899,84679,75211,23000,9.673867588,39.63638962,46.43032963,18.8
"Los Angeles city, California",3284123,1610239,786608,684922,109241,1673884,711891,676270,159198,8.173841236,41.44765589,45.62858943,19.5
"Lynwood city, California",53062,25930,12409,12116,962,27132,12159,11726,1193,4.061286797,44.9323433,46.30055407,21.3
"Manteca city, California",59052,27998,10769,14630,2172,31054,8684,15089,4280,10.92596356,50.32683059,32.94215268,11.2
"Menifee city, California",71251,32942,11209,18691,2259,38309,10036,18375,5056,10.26652258,52.02172601,29.81712537,8.2
"Merced city, California",62039,31428,14839,12725,3428,30611,11765,13212,3746,11.56369381,41.80757266,42.88270282,28.2
"Milpitas city, California",63007,31665,11680,17740,2000,31342,9260,18651,1913,6.210421064,57.75707461,33.23440253,7.8
"Mission Viejo city, California",80941,40861,12813,23615,3322,40080,8232,22946,5303,10.65590986,57.5246167,26.00042006,4.7
"Modesto city, California",162487,78113,29448,41577,5676,84374,24461,41842,10677,10.06418975,51.33887634,33.17742342,13.7
"Moreno Valley city, California",154385,72929,30861,35262,5751,81456,33223,34935,7747,8.743077372,45.46879554,41.50921398,16.4
"Mountain View city, California",65791,34857,15209,16930,2330,30934,9490,16586,3223,8.440364184,50.94313812,37.54160903,11.6
"Murrieta city, California",85495,42348,15157,24131,2461,43147,11459,23642,5042,8.77595181,55.87812153,31.13164513,11.9
"Napa city, California",65621,30375,9827,17140,2671,35246,9785,16452,4603,11.08486613,51.19092973,29.88677405,7.8
"Newport Beach city, California",73778,33888,9185,21788,2416,39890,11583,21278,4426,9.273767248,58.37241454,28.1493128,6.7
"Norwalk city, California",84646,41944,20525,18075,2500,42702,16879,17983,3832,7.480566122,42.59858706,44.18873898,17.3
"Oakland city, California",349913,170770,81536,73251,13497,179143,78535,69115,18417,9.120552823,40.68611341,45.74594256,18.9
"Oceanside city, California",142012,68059,23901,35868,6043,73953,19350,36322,11156,12.11094837,50.83373236,30.45587697,11
"Ontario city, California",135277,64012,28131,31807,3248,71265,27788,31615,6276,7.040369021,46.88306216,41.33666477,14.6
"Orange city, California",113872,56730,21714,29753,4146,57142,19273,27600,6449,9.30430659,50.36620065,35.993923,9
"Oxnard city, California",157389,78613,36694,35562,4382,78776,29597,36457,6821,7.118032391,45.75859812,42.11920782,14.8
"Palmdale city, California",115900,55416,23222,27818,3464,60484,21983,28046,5915,8.092320966,48.20017256,39.00345125,18.1
"Pasadena city, California",120440,56025,25186,25471,4056,64415,26851,25622,7026,9.201262039,42.42195284,43.2057456,14.3
"Perris city, California",57833,27014,12231,12292,2185,30819,14206,11853,3186,9.287085228,41.74952017,45.7126554,21
"Pleasanton city, California",65354,30641,6548,21588,1664,34713,6506,22372,3312,7.613918046,67.26443676,19.97429385,6.2
"Pomona city, California",119169,59680,31495,23884,3379,59489,28368,23365,4734,6.807978585,39.64873415,50.23370172,20.8
"Rancho Cucamonga city, California",144350,71935,29585,35842,5481,72415,22080,36145,9269,10.21821961,49.869761,35.79147904,8.4
"Redding city, California",75592,36999,12024,18254,5428,38593,10876,18455,5882,14.96190073,48.56201714,30.29421103,20.3
"Redlands city, California",57339,24988,9583,12679,1902,32351,11397,13075,4513,11.18784771,44.91532814,36.58940686,12.6
"Redondo Beach city, California",57417,28706,8972,15907,2910,28711,7315,16165,3890,11.84318233,55.85802114,28.36616333,4.9
"Redwood City city, California",70269,34609,12897,19260,2144,35660,11678,17381,4225,9.063740768,52.14390414,34.97274758,8.6
"Rialto city, California",78215,40493,19449,17328,2826,37722,13273,18007,4274,9.077542671,45.17675638,41.83596497,18.1
"Richmond city, California",88937,43606,19289,20720,2922,45331,16750,21019,3647,7.386127259,46.93097361,40.5219425,14.5
"Riverside city, California",259407,126890,56849,56824,10979,132517,53232,55147,14537,9.83628044,43.16421685,42.43563204,15.1
"Roseville city, California",107548,50441,16113,28964,3938,57107,13317,29727,9175,12.19269535,54.57191208,27.36452561,7.4
"Sacramento city, California",402212,198227,89831,86666,16942,203985,75709,86115,24663,10.34404742,42.95769395,41.15739958,19
"Salinas city, California",117831,58337,28657,25503,2869,59494,25289,26473,4390,6.16051803,44.11063303,45.78251903,14.8
"San Bernardino city, California",160292,76831,39494,29924,5780,83461,35890,31918,8925,9.173882664,38.58083997,47.02917176,29.4
"San Buenaventura (Ventura) city, California",90645,46383,17462,22379,4687,44262,13199,21607,6255,12.07126703,48.52556677,33.82536268,8.2
"San Diego city, California",1174089,591935,268999,266362,44658,582154,210272,263755,72037,9.93919541,45.15134713,40.82067032,13.1
"San Francisco city, California",770100,392407,196675,163899,25041,377693,157615,157302,34476,7.728476821,41.70899883,46.00571354,10.1
